<Trait>	SdArea_cm2	Hgt_cm	Hdng_grp
H0792	6.566853333	136.8908	0.044633333
H0793	6.480186667	136.8908	1.044633333
H0794	6.74352	128.5574667	1.7113
H0795	7.550186667	145.2241333	0.7113
H0796	6.886853333	145.2241333	1.044633333
H0801	7.066853333	145.2241333	0.377966667
H0802	7.29352	110.2241333	0.7113
H0803	6.61352	133.5574667	1.044633333
H0804	6.730186667	130.2241333	1.377966667
H0805	6.686853333	128.5574667	1.044633333
H0806	6.906853333	133.5574667	0.377966667
H0807	7.150186667	163.5574667	0.7113
H0808	6.65352	141.8908	1.044633333
H0809	6.196853333	136.8908	1.044633333
H0810	6.27352	150.2241333	1.044633333
H0811	6.126853333	136.8908	1.377966667
H0812	6.86352	126.8908	1.377966667
H0813	7.130186667	143.5574667	0.377966667
H0814	6.41352	135.2241333	1.377966667
H0815	6.746853333	146.8908	1.044633333
H0816	6.33352	125.2241333	1.377966667
H0817	7.650186667	140.2241333	1.7113
H0818	8.750186667	150.2241333	1.377966667
H0819	7.84352	141.8908	0.377966667
H0820	6.54028	146.8908	1.377966667
H0821	7.38352	140.2241333	2.044633333
H0822	8.266853333	135.2241333	0.7113
H0823	7.06352	145.2241333	1.044633333
H0824	7.95352	131.8908	0.7113
H0827	6.96352	141.8908	0.7113
H0828	7.686853333	143.5574667	1.044633333
H0829	6.186853333	130.2241333	1.7113
H0830	6.016853333	141.8908	1.377966667
H0831	7.50352	136.8908	1.7113
H0832	8.66352	150.2241333	0.7113
